iter	Logloss
0	0.6703729134
1	0.6469321097
2	0.6287495254
3	0.6110795117
4	0.5969622989
5	0.5854974303
6	0.5727005584
7	0.5621195118
8	0.5555587497
9	0.5489122375
10	0.541688001
11	0.535963401
12	0.5301686415
13	0.5243427644
14	0.519984503
15	0.5151614921
16	0.5108926558
17	0.5085280687
18	0.5059863811
19	0.5033673894
20	0.5013979014
21	0.4987400131
22	0.4962675625
23	0.4943688452
24	0.492279526
25	0.4902400397
26	0.488397946
27	0.4862798392
28	0.4844378677
29	0.4824089402
30	0.4807672354
31	0.4796605874
32	0.4779477443
33	0.4766681211
34	0.475191776
35	0.4739723547
36	0.4726234937
37	0.4703205845
38	0.4692204719
39	0.468125408
