step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,WEATHER,8.43,79.13,1009.57,13.65,35.81,0
1,WEATHER,16.72,72.31,1014.49,12.21,53.44,1
2,WEATHER,19.18,71.26,1010.23,10.61,42.56,1
3,WEATHER,18.77,71.76,1001.14,10.57,35.21,1
4,WEATHER,9.25,89.82,1016.49,13.54,39.91,1
5,WEATHER,13.18,90.37,1015.43,7.23,36.64,0
6,WEATHER,14.73,70.47,1014.27,28.62,38.49,1
7,WEATHER,10.38,90.11,1016.58,13.47,42.6,0
8,WEATHER,16.81,77.5,1013.18,2.21,40.59,0
9,WEATHER,14.12,88.72,1011.26,10.53,43.31,0
10,WEATHER,17.41,80.21,1013.47,17.51,30.86,0
11,WEATHER,19.66,69.54,1014.06,14.77,48.86,1
12,WEATHER,19.33,80.87,1015.34,7.42,35.5,1
13,WEATHER,20.4,72.97,1013.05,8.39,48.04,0
14,WEATHER,15.59,88.5,1014.58,6.23,38.9,1
15,WEATHER,14.31,92.25,1013.33,7.1,37.64,1
16,WEATHER,16.37,70.67,1009.73,20.34,35.69,0
17,WEATHER,25.99,88.8,1010.84,21.28,38.17,1
18,WEATHER,17.58,81.68,1016.65,27.42,36.26,1
19,WEATHER,17.48,81.51,1014.71,13.05,34.64,1
20,WEATHER,10.22,81.62,1016.7,24.1,49.32,0
21,WEATHER,19.74,77.95,1015.31,22.27,47.07,1
22,WEATHER,20.92,70.66,1012.26,24.87,45.31,0
23,WEATHER,18.52,73.05,1012.79,15.92,51.73,1
24,WEATHER,18.17,92.33,1013.21,7.66,42.49,1
25,WEATHER,23.09,82.06,1010.43,8.13,54.08,0
26,WEATHER,12.22,90.68,1016.59,16.36,47.44,0
27,WEATHER,17.97,79.62,1011.08,9.91,42.53,1
28,WEATHER,23.87,72.56,1020.77,22.55,43.59,0
29,WEATHER,24.07,84.49,1014.45,6.13,42.45,0
30,WEATHER,17.59,88.24,1015.64,6.8,44.17,0
31,WEATHER,25.29,73.33,1012.34,11.86,41.45,1
32,WEATHER,19.58,84.7,1017.11,2.89,33.17,0
33,WEATHER,23.98,86.67,1017.05,8.24,40.36,0
34,WEATHER,23.03,89.19,1021.14,21.84,42.29,0
35,WEATHER,20.4,79.08,1012.71,9.46,53.35,0
36,WEATHER,22.62,87.04,1022.45,11.2,47.95,1
37,WEATHER,16.85,76.93,1018.47,6.05,48.65,0
38,WEATHER,25.5,76.17,1014.78,13.27,40.18,0
39,WEATHER,19.37,81.62,1024.97,27.37,58.94,0
40,WEATHER,21.93,89.3,1018.63,6.4,41.05,0
41,WEATHER,23.74,76.82,1005.47,15.57,38.88,1
42,WEATHER,27.77,77.62,1023.28,16.35,47.58,0
43,WEATHER,25.94,85.13,1021.48,5.71,49.07,0
44,WEATHER,26.55,81.37,1018.18,27.04,38.42,0
45,WEATHER,24.38,80.2,1010.78,5.06,55.42,0
46,WEATHER,25.14,71.33,1021.95,12.31,40.49,0
47,WEATHER,24.15,86.94,1013.41,14.77,44.57,1
48,WEATHER,23.45,81.28,1017.4,8.0,51.33,0
49,WEATHER,21.3,85.16,1020.56,8.42,48.21,0
50,WEATHER,24.75,90.86,1011.82,19.71,40.62,0
51,WEATHER,26.22,66.63,1017.85,8.1,50.76,0
52,WEATHER,21.54,76.52,1016.66,4.61,39.85,0
53,WEATHER,27.86,68.31,1019.85,2.74,46.33,0
54,WEATHER,26.11,70.38,1020.6,15.56,47.68,0
55,WEATHER,25.04,75.9,1019.3,18.44,45.93,0
56,WEATHER,26.08,83.09,1020.75,9.57,46.43,0
57,WEATHER,27.41,75.69,1017.03,1.46,43.91,0
58,WEATHER,24.88,78.86,1019.96,12.86,42.88,1
59,WEATHER,23.4,62.09,1010.8,21.66,44.95,0
60,WEATHER,29.46,87.73,1026.56,16.25,38.14,0
61,WEATHER,25.6,86.02,1021.66,29.63,46.09,0
62,WEATHER,32.23,66.58,1017.22,19.52,44.83,0
63,WEATHER,19.17,82.7,1021.26,3.79,45.74,0
64,WEATHER,23.22,84.22,1016.9,9.37,43.53,0
65,WEATHER,24.54,74.52,1014.04,16.74,41.26,0
66,WEATHER,25.18,69.68,1018.95,10.63,45.08,1
67,WEATHER,23.61,86.98,1021.58,17.87,45.36,0
68,WEATHER,25.31,73.93,1022.63,6.92,48.44,0
69,WEATHER,27.06,85.49,1012.7,11.1,49.44,1
70,WEATHER,21.75,71.9,1017.96,20.08,49.46,0
71,WEATHER,30.48,72.75,1018.02,17.43,46.96,0
72,WEATHER,27.82,76.12,1021.93,27.52,53.44,0
73,WEATHER,21.05,68.9,1013.06,10.77,48.3,1
74,WEATHER,29.14,77.21,1016.85,12.43,46.69,0
75,WEATHER,27.37,75.1,1025.4,2.08,45.86,1
76,WEATHER,25.1,82.92,1024.35,28.04,45.54,0
77,WEATHER,29.16,83.67,1022.47,15.62,45.55,0
78,WEATHER,24.07,78.03,1022.13,23.57,39.21,0
79,WEATHER,28.17,79.02,1025.62,16.24,52.13,0
80,WEATHER,24.99,62.17,1014.41,20.73,36.94,0
81,WEATHER,24.0,73.72,1025.99,14.52,42.75,0
82,WEATHER,22.28,74.84,1014.6,20.55,44.79,0
83,WEATHER,24.96,64.58,1013.38,20.61,39.57,0
84,WEATHER,32.73,86.62,1018.8,5.14,41.79,0
85,WEATHER,26.77,70.14,1023.78,13.58,50.61,0
86,WEATHER,29.88,71.47,1020.83,6.18,45.46,1
87,WEATHER,28.78,75.1,1018.93,12.02,35.39,0
88,WEATHER,32.14,73.3,1025.91,23.48,37.61,0
89,WEATHER,27.43,74.07,1021.02,28.03,41.94,0
90,WEATHER,24.54,66.37,1017.45,7.75,39.61,1
91,WEATHER,29.89,73.94,1008.87,21.55,39.48,0
92,WEATHER,28.68,62.77,1016.64,7.95,43.69,0
93,WEATHER,22.02,88.91,1014.25,6.92,45.51,0
94,WEATHER,24.41,51.12,1013.08,9.75,35.7,0
95,WEATHER,22.71,70.7,1016.27,10.4,50.69,0
96,WEATHER,28.35,82.95,1018.1,5.22,41.0,0
97,WEATHER,23.59,73.27,1019.52,19.69,45.55,0
98,WEATHER,24.49,69.43,1022.77,1.75,46.39,0
99,WEATHER,32.47,51.09,1020.58,25.22,42.47,0
100,WEATHER,27.49,65.71,1014.39,16.57,45.15,0
101,WEATHER,24.01,76.01,1020.07,6.72,41.37,0
102,WEATHER,29.37,69.39,1013.67,7.76,48.41,0
103,WEATHER,26.98,76.32,1016.39,8.45,34.37,1
104,WEATHER,28.36,72.14,1021.78,9.64,32.58,0
105,WEATHER,25.49,64.26,1018.01,5.89,41.65,0
106,WEATHER,27.36,89.56,1014.89,5.79,46.99,0
107,WEATHER,27.77,59.65,1015.66,6.88,46.14,0
108,WEATHER,32.59,71.16,1018.34,12.65,40.49,0
109,WEATHER,22.21,61.61,1015.89,9.83,42.61,0
110,WEATHER,27.61,64.55,1019.23,9.37,48.01,0
111,WEATHER,27.38,86.03,1023.4,15.81,49.38,0
112,WEATHER,30.16,62.33,1015.47,9.56,48.79,0
113,WEATHER,28.62,62.23,1017.97,20.5,48.95,0
114,WEATHER,25.37,75.41,1011.94,5.48,29.68,0
115,WEATHER,22.05,57.34,1024.66,20.08,44.15,0
116,WEATHER,25.75,67.09,1014.17,1.97,39.28,0
117,WEATHER,21.78,62.83,1019.51,16.86,36.99,0
118,WEATHER,27.58,48.67,1016.24,3.25,38.36,0
119,WEATHER,21.91,53.6,1015.55,16.6,36.48,1
120,WEATHER,25.33,56.56,1024.43,10.14,45.75,0
121,WEATHER,29.57,60.66,1022.65,15.5,37.21,0
122,WEATHER,22.63,58.37,1019.0,27.28,42.02,1
123,WEATHER,25.94,54.55,1014.47,16.08,40.34,0
124,WEATHER,20.64,46.66,1011.24,8.59,35.74,0
125,WEATHER,30.17,74.59,1017.28,26.96,39.19,0
126,WEATHER,28.66,59.91,1016.08,13.21,42.49,1
127,WEATHER,26.5,54.47,1015.77,13.43,34.41,1
128,WEATHER,22.11,63.79,1015.17,9.45,40.23,0
129,WEATHER,25.63,52.28,1020.26,30.51,36.71,0
130,WEATHER,26.12,52.7,1014.43,30.63,35.05,0
131,WEATHER,20.95,51.72,1017.8,17.35,37.25,0
132,WEATHER,21.47,65.1,1023.7,14.61,28.88,0
133,WEATHER,24.86,60.58,1009.84,18.23,34.37,0
134,WEATHER,26.49,57.1,1014.0,25.54,34.51,1
135,WEATHER,24.32,58.56,1026.64,18.96,34.53,0
136,WEATHER,29.55,64.9,1018.28,16.59,30.85,0
137,WEATHER,25.24,44.09,1016.28,30.58,31.7,0
138,WEATHER,24.49,57.19,1017.74,14.75,39.4,0
139,WEATHER,24.1,54.87,1015.12,20.78,30.83,0
140,WEATHER,17.16,62.13,1010.44,13.7,35.82,0
141,WEATHER,26.54,43.25,1018.31,5.46,30.49,0
142,WEATHER,23.42,60.77,1016.94,12.57,38.69,1
143,WEATHER,17.14,52.16,1010.97,7.29,31.34,0
144,WEATHER,16.83,59.51,1022.5,12.67,37.14,0
145,WEATHER,18.95,47.62,1018.94,29.58,28.82,0
146,WEATHER,18.58,41.25,1018.75,5.2,27.71,0
147,WEATHER,20.4,46.63,1012.69,8.58,25.66,1
148,WEATHER,21.81,42.94,1018.08,6.93,33.29,0
149,WEATHER,19.46,52.03,1017.3,2.88,30.58,0
150,WEATHER,26.96,78.98,1013.05,12.79,25.12,0
151,WEATHER,20.69,43.94,1021.67,13.59,29.11,0
152,WEATHER,19.96,54.72,1013.44,16.83,27.12,0
153,WEATHER,19.55,58.21,1016.07,14.22,27.72,0
154,WEATHER,17.51,54.74,1017.96,7.87,23.59,0
155,WEATHER,18.99,56.38,1019.67,17.42,27.05,0
156,WEATHER,15.83,46.58,1011.66,19.48,19.21,0
157,WEATHER,19.1,46.31,1020.08,4.23,23.26,0
158,WEATHER,16.19,46.69,1017.51,4.96,26.59,0
159,WEATHER,26.32,55.91,1019.93,2.9,38.71,0
160,WEATHER,14.98,62.06,1016.16,14.87,21.81,0
161,WEATHER,21.69,50.55,1008.58,11.25,26.12,0
162,WEATHER,17.05,50.58,1019.21,15.25,23.28,0
163,WEATHER,19.27,37.56,1019.29,4.16,25.78,0
164,WEATHER,23.93,37.17,1011.71,16.69,33.5,0
165,WEATHER,18.64,42.39,1009.91,19.79,27.92,0
166,WEATHER,24.82,23.07,1021.47,7.91,22.55,0
167,WEATHER,9.77,45.88,1017.32,5.34,27.76,0
168,WEATHER,15.91,53.14,1016.33,21.48,26.21,0
169,WEATHER,23.94,58.25,1011.45,6.26,28.12,0
170,WEATHER,17.44,54.5,1008.21,2.48,21.82,0
171,WEATHER,21.09,39.31,1009.34,11.84,25.07,0
172,WEATHER,19.67,59.08,1009.54,18.43,28.3,0
173,WEATHER,19.62,47.79,1012.71,6.11,27.97,0
174,WEATHER,23.39,35.56,1015.76,14.03,24.79,1
175,WEATHER,18.43,37.38,1016.49,2.37,22.15,0
176,WEATHER,13.97,59.7,1017.18,15.4,27.53,0
177,WEATHER,18.86,59.62,1016.66,26.24,24.84,0
178,WEATHER,12.45,30.59,1014.69,25.05,20.15,0
179,WEATHER,13.1,43.57,1012.5,12.95,24.41,0
180,WEATHER,13.36,40.33,1012.86,16.89,20.43,0
181,WEATHER,14.22,44.09,1012.7,14.47,24.67,0
182,WEATHER,16.62,49.11,1014.4,12.5,25.78,0
183,WEATHER,16.21,39.46,1008.85,7.32,30.02,0
184,WEATHER,12.54,49.53,1015.71,3.25,29.29,0
185,WEATHER,15.53,37.98,1008.82,22.25,25.97,0
