step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,NETWORK,4580.2,4.3103,214.0,0.0,4.3799,0
1,NETWORK,5257.8,6.5326,185.0,0.0,3.5419,0
2,NETWORK,5181.2,4.4338,214.0,0.0778,5.4979,0
3,NETWORK,5328.6,3.1858,197.0,0.0244,3.6659,0
4,NETWORK,4586.6,4.4097,214.0,0.0237,5.144,0
5,NETWORK,5537.9,4.2135,185.0,0.0127,3.977,0
6,NETWORK,4330.3,2.3565,188.0,0.0007,4.5422,0
7,NETWORK,5235.6,1.5464,242.0,0.0211,3.9082,0
8,NETWORK,5402.5,6.3188,198.0,0.0294,3.7997,0
9,NETWORK,4050.4,5.6033,195.0,0.0001,4.4431,0
10,NETWORK,5171.5,3.9604,194.0,0.0907,5.1645,0
11,NETWORK,4631.8,5.5889,201.0,0.0185,4.1834,0
12,NETWORK,4731.4,2.1298,189.0,0.0001,3.5081,0
13,NETWORK,5033.2,3.3743,213.0,0.0087,5.1483,0
14,NETWORK,5151.0,2.2759,203.0,0.0718,5.2857,0
15,NETWORK,4839.5,6.7095,200.0,0.0052,3.8798,0
16,NETWORK,5645.3,2.1182,204.0,0.055,3.7861,0
17,NETWORK,5993.8,1.2419,183.0,0.0,5.1008,0
18,NETWORK,4829.4,0.3704,213.0,0.09,4.1915,0
19,NETWORK,5037.2,5.79,217.0,0.1338,3.8379,0
20,NETWORK,5310.5,6.3926,206.0,0.0873,5.116,0
21,NETWORK,4568.9,1.3135,205.0,0.0068,3.917,0
22,NETWORK,5478.6,2.3786,199.0,0.1425,3.6363,0
23,NETWORK,5395.3,3.251,180.0,0.0002,5.0532,0
24,NETWORK,5081.2,1.1605,180.0,0.045,3.819,0
25,NETWORK,4994.1,5.6531,206.0,0.0008,3.8247,0
26,NETWORK,4470.1,6.5307,200.0,0.0213,4.3188,0
27,NETWORK,5017.3,5.2194,198.0,0.0059,4.5957,0
28,NETWORK,6151.0,7.888,219.0,0.0089,5.2898,0
29,NETWORK,4665.0,1.9539,217.0,0.0576,4.8709,0
30,NETWORK,5469.6,5.6403,209.0,0.0242,3.6134,0
31,NETWORK,5166.9,7.351,214.0,0.0001,5.4722,0
32,NETWORK,5656.7,1.1987,197.0,0.024,4.8965,0
33,NETWORK,5039.0,6.8874,226.0,0.0007,4.0491,0
34,NETWORK,4855.7,4.4263,195.0,0.0004,4.3854,0
35,NETWORK,4485.2,6.4869,198.0,0.0016,4.0084,0
36,NETWORK,5289.1,2.8363,200.0,0.0003,4.8844,0
37,NETWORK,5523.4,1.6796,199.0,0.0002,4.2187,0
38,NETWORK,5259.5,2.7804,207.0,0.0122,5.0022,0
39,NETWORK,6527.9,3.2617,224.0,0.0003,4.9193,0
40,NETWORK,5266.3,1.1392,203.0,0.1834,4.6846,0
41,NETWORK,6171.4,1.3583,191.0,0.0251,4.9049,0
42,NETWORK,4883.5,1.6371,201.0,0.094,5.2775,0
43,NETWORK,5042.7,2.3871,207.0,0.0106,4.0523,0
44,NETWORK,5171.0,5.4474,209.0,0.0012,4.1194,0
45,NETWORK,5464.9,4.2201,207.0,0.001,4.0423,0
46,NETWORK,4933.0,2.0431,202.0,0.0003,5.0133,0
47,NETWORK,5646.1,2.8404,194.0,0.0,4.3524,0
48,NETWORK,5317.5,3.6454,193.0,0.0517,5.1556,0
49,NETWORK,4964.2,7.2229,199.0,0.0006,5.1552,0
50,NETWORK,5202.3,6.077,172.0,0.1067,3.5521,0
51,NETWORK,5464.2,3.5166,175.0,0.0065,4.6365,0
52,NETWORK,5122.9,1.4062,188.0,0.0055,5.4969,0
53,NETWORK,6166.1,1.2396,188.0,0.0227,5.4548,0
54,NETWORK,5511.6,5.2205,193.0,0.0196,4.2524,0
55,NETWORK,5795.7,7.72,211.0,0.0059,5.4866,0
56,NETWORK,5982.6,4.1974,217.0,0.0033,4.3214,0
57,NETWORK,5785.5,1.7884,195.0,0.0048,5.1923,0
58,NETWORK,5631.0,2.2028,184.0,0.0448,4.5823,0
59,NETWORK,5861.7,3.0702,196.0,0.0451,4.9918,0
60,NETWORK,5642.4,1.2051,213.0,0.0004,4.748,0
61,NETWORK,5494.5,2.4975,192.0,0.0024,4.9863,0
62,NETWORK,5915.2,5.9845,195.0,0.009,3.759,0
63,NETWORK,5546.6,7.2832,219.0,0.0,4.5085,0
64,NETWORK,6271.4,1.3403,207.0,0.0349,3.7564,0
65,NETWORK,4976.0,1.5211,201.0,0.0942,4.3874,0
66,NETWORK,5776.6,3.7766,180.0,0.0531,4.208,0
67,NETWORK,6849.8,5.3321,206.0,0.0192,4.2899,0
68,NETWORK,5508.1,5.394,183.0,0.0049,4.713,0
69,NETWORK,4678.8,2.3615,195.0,0.0534,5.2386,0
70,NETWORK,4353.4,3.3579,180.0,0.0224,4.0793,0
71,NETWORK,5707.0,5.3154,214.0,0.0044,4.5369,0
72,NETWORK,5576.8,6.6358,207.0,0.0044,5.4381,0
73,NETWORK,4976.9,3.9781,184.0,0.0628,3.6674,0
74,NETWORK,5557.7,5.8048,196.0,0.0614,5.0439,0
75,NETWORK,4998.7,6.9882,215.0,0.0792,4.34,0
76,NETWORK,5699.0,1.7649,201.0,0.0429,5.2011,0
77,NETWORK,6071.8,4.7212,189.0,0.0125,5.1821,0
78,NETWORK,6195.2,0.7894,191.0,0.01,3.778,0
79,NETWORK,5661.8,6.1287,185.0,0.0015,4.764,0
80,NETWORK,5826.7,3.0029,218.0,0.0034,3.7751,0
81,NETWORK,5450.8,0.646,214.0,0.0076,4.559,0
82,NETWORK,5747.6,1.6586,232.0,0.0063,3.5761,0
83,NETWORK,4947.3,6.9335,191.0,0.0765,4.6474,0
84,NETWORK,5695.6,2.9797,190.0,0.0063,4.8961,0
85,NETWORK,5892.0,2.5071,186.0,0.0022,5.1895,0
86,NETWORK,5219.2,4.379,207.0,0.004,4.6926,0
87,NETWORK,5188.3,7.5679,196.0,0.0369,3.775,0
88,NETWORK,5958.7,5.5429,192.0,0.0013,3.8625,0
89,NETWORK,4971.4,2.0992,210.0,0.0132,4.868,0
90,NETWORK,6245.7,2.2109,200.0,0.0379,3.844,0
91,NETWORK,6252.1,1.6989,206.0,0.0262,4.5173,0
92,NETWORK,5010.2,6.6364,200.0,0.0202,5.0772,0
93,NETWORK,4912.0,3.0463,201.0,0.0065,4.8473,0
94,NETWORK,6102.6,8.4681,207.0,0.0017,4.9477,0
95,NETWORK,5431.0,5.9451,179.0,0.025,3.7022,0
96,NETWORK,5730.3,4.9704,174.0,0.0588,4.166,0
97,NETWORK,5983.3,8.4048,183.0,0.02,4.2432,0
98,NETWORK,5804.6,4.3405,191.0,0.0171,5.2646,0
99,NETWORK,5102.1,6.2817,229.0,0.019,5.3944,0
100,NETWORK,5929.9,4.1873,196.0,0.0598,5.1238,0
101,NETWORK,6475.9,9.5956,176.0,0.0031,3.7345,0
102,NETWORK,4989.1,2.0036,216.0,0.0624,4.3034,0
103,NETWORK,6228.3,2.7591,194.0,0.0001,4.8841,0
104,NETWORK,5919.1,2.7145,229.0,0.0002,4.5468,0
105,NETWORK,6224.7,6.0434,232.0,0.0513,5.3466,0
106,NETWORK,6027.4,4.8141,201.0,0.0006,3.8155,0
107,NETWORK,5638.9,4.9078,216.0,0.0,3.6172,0
108,NETWORK,6125.0,4.0115,183.0,0.0661,5.1801,0
109,NETWORK,6254.7,0.5484,188.0,0.0221,5.0027,0
110,NETWORK,5287.3,3.5305,229.0,0.0646,4.4849,0
111,NETWORK,5052.8,4.2399,189.0,0.0435,4.8743,0
112,NETWORK,6100.3,6.5505,165.0,0.0441,3.5684,0
113,NETWORK,5542.5,2.4664,186.0,0.0425,5.0238,0
114,NETWORK,6050.6,3.9626,214.0,0.0732,5.3019,0
115,NETWORK,5186.5,0.812,228.0,0.0929,5.2841,0
116,NETWORK,5452.0,5.4033,214.0,0.0002,4.5343,0
117,NETWORK,6104.5,1.8157,196.0,0.0071,4.1559,0
118,NETWORK,5899.1,3.9255,201.0,0.0553,4.8422,0
119,NETWORK,5215.4,4.3373,197.0,0.012,4.3582,0
