step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,SENSOR,0.5734,65.65,96.08,3015.5,0.000888,0
1,SENSOR,0.6341,61.25,106.66,2965.3,0.001597,0
2,SENSOR,0.5827,57.24,99.51,3073.8,0.001835,0
3,SENSOR,0.5664,58.48,98.51,2997.6,0.00207,0
4,SENSOR,0.5861,62.13,98.65,2998.6,0.004084,0
5,SENSOR,0.5335,61.15,102.61,3088.3,0.005983,0
6,SENSOR,0.5037,64.22,95.78,2970.5,0.006411,0
7,SENSOR,0.6157,60.59,99.91,2961.7,0.00687,0
8,SENSOR,0.7807,60.68,102.95,3034.1,0.007004,0
9,SENSOR,0.5518,61.46,100.5,2973.9,0.007368,0
10,SENSOR,0.6393,55.36,100.03,2974.4,0.008131,0
11,SENSOR,0.8169,59.34,94.44,2981.9,0.010156,0
12,SENSOR,0.8052,62.95,95.61,2946.6,0.012205,0
13,SENSOR,0.5726,61.25,101.25,3032.4,0.013181,0
14,SENSOR,0.6312,62.22,98.08,3043.2,0.013713,0
15,SENSOR,0.5705,62.67,102.65,2996.4,0.016282,0
16,SENSOR,0.6015,59.24,101.95,3027.1,0.016841,0
17,SENSOR,0.5732,60.57,104.03,3102.9,0.017936,0
18,SENSOR,0.5437,61.68,96.96,3023.9,0.017989,0
19,SENSOR,0.5138,64.74,106.45,2989.9,0.018217,0
20,SENSOR,0.7067,62.69,100.22,2989.1,0.018217,0
21,SENSOR,0.5488,58.94,99.32,2883.9,0.018353,0
22,SENSOR,0.5696,60.96,101.43,3011.3,0.018374,0
23,SENSOR,0.5553,60.7,97.98,2891.8,0.018456,0
24,SENSOR,0.533,62.15,100.73,3057.0,0.019001,0
25,SENSOR,0.745,59.52,98.64,2967.3,0.019194,0
26,SENSOR,0.5592,57.63,98.79,3071.3,0.019768,0
27,SENSOR,0.886,62.75,102.63,2900.6,0.019979,0
28,SENSOR,0.52,60.58,101.52,3027.4,0.020003,0
29,SENSOR,0.5997,62.54,99.64,2936.2,0.021265,0
30,SENSOR,0.5145,62.96,102.28,3095.0,0.021551,0
31,SENSOR,0.6387,59.93,95.17,2985.9,0.021634,0
32,SENSOR,0.6387,58.5,100.24,2976.3,0.021855,0
33,SENSOR,0.5323,64.08,96.99,3112.9,0.022073,0
34,SENSOR,0.5036,61.83,102.14,3062.7,0.022082,0
35,SENSOR,0.6479,62.03,95.96,2992.3,0.022969,0
36,SENSOR,0.534,61.71,98.13,2926.9,0.022978,0
37,SENSOR,0.6319,60.01,97.2,2890.6,0.023253,0
38,SENSOR,0.5107,62.09,96.86,3017.7,0.023443,0
39,SENSOR,0.5026,57.91,101.59,2931.0,0.023509,0
40,SENSOR,0.5358,60.02,97.36,3012.4,0.023864,0
41,SENSOR,0.551,60.25,101.44,3022.6,0.024614,0
42,SENSOR,0.5052,58.49,98.07,2950.2,0.025769,0
43,SENSOR,0.5335,60.51,102.35,3000.7,0.026183,0
44,SENSOR,0.6159,59.61,99.31,3102.7,0.026511,0
45,SENSOR,0.543,60.56,98.69,2979.4,0.026576,0
46,SENSOR,0.5357,59.65,98.2,2930.2,0.026777,0
47,SENSOR,0.5435,62.29,97.87,2976.3,0.027531,0
48,SENSOR,0.9999,62.39,102.14,2997.3,0.027598,0
49,SENSOR,0.5068,56.78,103.0,2950.5,0.028057,0
50,SENSOR,0.5024,57.19,97.91,3065.4,0.028941,0
51,SENSOR,0.6661,59.82,100.4,3029.3,0.029227,0
52,SENSOR,0.5336,55.89,97.47,2887.9,0.029366,0
53,SENSOR,0.5797,59.23,96.32,3043.6,0.03013,0
54,SENSOR,0.7357,59.25,100.68,3077.5,0.03047,0
55,SENSOR,0.7464,61.59,101.11,2965.8,0.030798,0
56,SENSOR,0.7844,60.23,103.33,3100.5,0.031058,0
57,SENSOR,0.588,59.78,100.17,2942.1,0.031259,0
58,SENSOR,0.5608,60.01,103.29,2931.5,0.031297,0
59,SENSOR,0.548,60.0,106.53,3028.2,0.032021,0
60,SENSOR,0.5101,60.78,98.56,2968.2,0.032544,0
61,SENSOR,0.9133,59.8,102.15,2915.5,0.032678,0
62,SENSOR,0.5616,59.57,96.31,3031.1,0.032787,0
63,SENSOR,0.6215,63.28,97.44,2950.9,0.032924,0
64,SENSOR,0.5502,58.31,101.8,2984.7,0.033464,0
65,SENSOR,0.6244,56.36,100.1,2952.1,0.033648,0
66,SENSOR,0.5442,60.51,93.89,3049.4,0.035876,0
67,SENSOR,0.504,60.23,99.46,2972.1,0.036378,0
68,SENSOR,0.6867,56.32,98.72,3048.5,0.037405,0
69,SENSOR,0.6122,60.05,96.94,2973.2,0.03769,0
70,SENSOR,0.626,60.6,102.48,2926.2,0.037725,0
71,SENSOR,0.5934,60.93,100.92,3048.5,0.038506,0
72,SENSOR,0.6188,57.9,104.07,3066.0,0.038593,0
73,SENSOR,0.5595,61.33,99.51,2885.5,0.039586,0
74,SENSOR,0.7853,58.79,99.29,3047.6,0.040015,0
75,SENSOR,0.7402,59.54,100.01,3055.7,0.040195,0
76,SENSOR,1.0173,60.64,102.77,3000.7,0.040423,0
77,SENSOR,0.5433,59.95,102.62,2909.2,0.041727,0
78,SENSOR,0.7524,55.98,100.06,2990.5,0.042536,0
79,SENSOR,0.6487,60.86,105.34,3016.1,0.043833,0
80,SENSOR,0.599,58.36,107.28,3097.5,0.044298,0
81,SENSOR,0.6102,60.77,103.77,3024.0,0.044727,0
82,SENSOR,0.505,62.7,101.6,2964.3,0.045354,0
83,SENSOR,0.5876,61.34,98.03,3005.5,0.045561,0
84,SENSOR,0.5138,61.71,101.16,3087.5,0.045844,0
85,SENSOR,0.7416,62.1,101.62,2930.7,0.046908,0
86,SENSOR,0.6202,61.01,100.67,2962.5,0.047001,0
87,SENSOR,0.5481,61.53,99.01,3014.1,0.047832,0
88,SENSOR,0.8088,60.16,104.06,2998.6,0.048106,0
89,SENSOR,0.5265,59.0,102.02,2940.2,0.04878,0
90,SENSOR,0.7234,62.39,93.59,3064.6,0.048812,0
91,SENSOR,0.544,57.46,101.17,3053.5,0.049266,0
92,SENSOR,0.6774,62.02,100.4,2958.1,0.049419,0
93,SENSOR,0.5265,58.66,98.0,3045.1,0.049709,0
94,SENSOR,0.5281,60.65,96.83,3045.6,0.050323,0
95,SENSOR,0.5222,59.79,102.04,2924.3,0.051085,0
96,SENSOR,0.5332,61.41,97.27,3040.2,0.051201,0
97,SENSOR,0.8394,60.17,104.68,3005.1,0.051396,0
98,SENSOR,0.5436,59.23,93.33,3008.6,0.051607,0
99,SENSOR,0.665,59.0,98.43,2886.1,0.052221,0
100,SENSOR,0.5603,62.42,102.36,3024.5,0.052658,0
101,SENSOR,0.6928,60.85,99.84,3020.2,0.052891,0
102,SENSOR,0.7095,60.15,99.83,2963.6,0.053059,0
103,SENSOR,0.7928,61.54,104.42,2963.5,0.053461,0
104,SENSOR,0.5867,61.71,92.57,3075.7,0.053929,0
105,SENSOR,0.5167,58.45,103.59,3001.0,0.05449,0
106,SENSOR,0.5709,57.84,96.92,3044.9,0.054919,0
107,SENSOR,0.5233,59.46,99.0,3049.9,0.055042,0
108,SENSOR,0.7037,59.57,99.17,3002.8,0.0558,0
109,SENSOR,0.5101,58.31,100.49,2989.9,0.055834,0
110,SENSOR,0.5117,56.75,100.31,2944.4,0.056077,0
111,SENSOR,0.5784,62.43,95.56,3043.9,0.058116,0
112,SENSOR,0.5597,60.41,102.85,2916.1,0.058179,0
113,SENSOR,0.5894,57.56,97.45,2965.9,0.058403,0
114,SENSOR,0.6036,54.68,102.18,2964.1,0.058526,0
115,SENSOR,0.5356,63.5,99.46,3032.3,0.05872,0
116,SENSOR,0.5415,61.69,95.93,2982.8,0.058808,0
117,SENSOR,0.5609,59.44,99.79,3017.6,0.059606,0
118,SENSOR,0.5128,63.37,96.65,2909.8,0.059749,0
119,SENSOR,0.513,59.78,94.88,2992.0,0.059784,0
120,SENSOR,0.8652,60.33,95.59,2982.6,0.059998,0
121,SENSOR,0.8803,64.26,98.77,2990.0,0.060156,0
122,SENSOR,0.6037,60.96,99.35,3051.4,0.06151,0
123,SENSOR,0.571,61.1,96.76,2916.8,0.062677,0
124,SENSOR,0.6835,59.44,95.4,3003.3,0.06307,0
125,SENSOR,0.7735,60.53,103.05,2954.3,0.063625,0
126,SENSOR,0.5606,60.96,102.7,3034.6,0.063761,0
127,SENSOR,0.5529,54.89,96.38,2946.4,0.064346,0
128,SENSOR,0.5086,54.05,96.13,3000.9,0.065122,0
129,SENSOR,0.5682,56.26,104.95,2990.9,0.065786,0
130,SENSOR,0.6093,57.11,101.33,2935.7,0.066017,0
131,SENSOR,0.6444,57.96,100.94,2919.5,0.066245,0
132,SENSOR,0.6059,61.37,100.16,3020.7,0.066611,0
133,SENSOR,0.5712,60.91,101.95,2996.6,0.066684,0
134,SENSOR,0.6141,60.68,98.73,3029.9,0.067282,0
135,SENSOR,0.669,63.94,103.5,3012.4,0.067779,0
136,SENSOR,0.5549,59.11,99.31,2976.0,0.068193,0
137,SENSOR,0.5118,59.66,98.71,3082.6,0.068211,0
138,SENSOR,0.6506,57.53,98.01,2980.7,0.068613,0
139,SENSOR,0.7084,61.35,99.68,2943.6,0.069397,0
140,SENSOR,0.5875,61.13,104.18,3002.7,0.069968,0
141,SENSOR,0.5304,60.16,96.46,3137.1,0.070252,0
142,SENSOR,0.6973,57.96,95.63,3053.6,0.070765,0
143,SENSOR,0.6133,60.36,98.45,2925.7,0.071166,0
144,SENSOR,0.5791,58.27,95.31,3002.3,0.071182,0
145,SENSOR,0.6153,59.42,105.02,3048.2,0.071191,0
146,SENSOR,0.6175,62.66,100.15,2994.2,0.071372,0
147,SENSOR,0.6087,59.13,101.65,2960.5,0.071452,0
148,SENSOR,0.5158,61.98,100.21,2913.0,0.072587,0
149,SENSOR,0.5335,58.32,102.27,2979.0,0.072741,0
150,SENSOR,0.5666,61.31,100.77,2924.2,0.072881,0
151,SENSOR,0.5168,60.48,99.49,3001.9,0.073342,0
152,SENSOR,0.6776,59.42,99.57,2977.0,0.073742,0
153,SENSOR,0.6177,58.19,94.84,2960.0,0.075249,0
154,SENSOR,0.5736,59.71,101.18,2958.7,0.0753,0
155,SENSOR,0.5988,62.99,100.94,3018.4,0.076873,0
156,SENSOR,0.6811,58.27,101.01,2958.2,0.079044,0
157,SENSOR,0.5404,59.83,101.33,3088.1,0.080166,0
158,SENSOR,0.5549,58.28,108.6,2901.4,0.080378,0
159,SENSOR,0.857,57.63,96.79,2988.5,0.080898,0
160,SENSOR,0.6312,60.12,102.37,3007.8,0.081138,0
161,SENSOR,0.6413,58.2,101.23,3016.7,0.081523,0
162,SENSOR,0.5256,58.75,99.01,3011.7,0.081995,0
163,SENSOR,0.5089,60.57,95.4,3055.8,0.082157,0
164,SENSOR,0.556,62.44,102.61,3069.1,0.082331,0
165,SENSOR,0.5123,60.53,100.87,3061.4,0.082665,0
166,SENSOR,0.7406,63.61,104.35,2967.5,0.083125,0
167,SENSOR,0.5192,63.03,97.2,2971.9,0.084426,0
168,SENSOR,0.6186,62.8,92.28,3030.1,0.084749,0
169,SENSOR,0.6233,59.76,103.03,3002.3,0.085162,0
170,SENSOR,0.7216,61.19,97.42,3064.1,0.086253,0
171,SENSOR,0.6311,61.25,97.76,2956.4,0.086279,0
172,SENSOR,0.6236,59.75,97.99,2905.8,0.086402,0
173,SENSOR,0.7063,60.83,99.67,2979.1,0.086414,0
174,SENSOR,0.5843,58.6,98.78,2944.2,0.086583,0
175,SENSOR,0.5598,62.4,99.36,3029.2,0.086603,0
176,SENSOR,0.5081,58.45,99.23,3091.7,0.087467,0
177,SENSOR,0.5159,60.23,104.01,3004.3,0.087535,0
178,SENSOR,0.5496,57.31,102.45,3012.5,0.087687,0
179,SENSOR,0.635,59.69,102.31,3034.0,0.087899,0
180,SENSOR,0.5433,58.19,101.32,3043.9,0.088085,0
181,SENSOR,0.5859,58.53,100.64,3003.5,0.088365,0
182,SENSOR,0.5539,58.03,104.42,3037.2,0.088388,0
183,SENSOR,0.6208,58.44,99.02,2957.4,0.088443,0
184,SENSOR,0.5461,59.92,101.64,3072.2,0.089229,0
185,SENSOR,0.6287,63.59,102.07,2924.0,0.089735,0
186,SENSOR,0.6315,58.44,102.11,2969.7,0.090124,0
187,SENSOR,0.5999,57.6,97.57,3004.8,0.091015,0
188,SENSOR,0.5147,61.3,98.88,2982.0,0.091334,0
189,SENSOR,0.5301,60.39,102.35,3017.7,0.092237,0
190,SENSOR,0.5161,61.21,95.2,3023.9,0.092543,0
191,SENSOR,0.5557,62.78,101.27,3136.6,0.093012,0
192,SENSOR,0.6031,60.94,102.67,3049.4,0.093627,0
193,SENSOR,0.5589,61.05,101.84,3043.2,0.094177,0
194,SENSOR,0.5601,61.27,95.9,3049.0,0.094554,0
195,SENSOR,0.5543,58.97,97.93,2966.3,0.095383,0
196,SENSOR,0.5258,59.44,102.59,2927.8,0.095823,0
197,SENSOR,0.8051,58.97,95.94,3097.8,0.09586,0
198,SENSOR,0.6814,58.72,97.09,3069.4,0.09639,0
199,SENSOR,0.5885,59.12,100.87,3049.1,0.096445,0
200,SENSOR,0.6626,61.01,93.14,3015.6,0.097327,0
201,SENSOR,0.8783,61.67,100.64,2950.3,0.098219,0
202,SENSOR,0.7005,62.33,101.4,2985.8,0.098268,0
203,SENSOR,0.5576,60.7,96.48,3021.8,0.098631,0
204,SENSOR,0.806,59.01,96.79,2954.7,0.098817,0
205,SENSOR,0.555,60.61,98.0,3085.4,0.099943,0
206,SENSOR,0.515,58.73,100.28,2889.2,0.100106,0
207,SENSOR,0.543,57.05,100.23,2885.2,0.10074,0
208,SENSOR,0.6014,57.52,97.68,3057.9,0.102317,0
209,SENSOR,0.7097,60.46,101.85,2998.6,0.104002,0
210,SENSOR,0.5659,60.41,98.94,2961.7,0.105474,0
211,SENSOR,0.5153,60.71,98.75,2985.8,0.105706,0
212,SENSOR,0.6344,60.73,99.29,2938.2,0.106847,0
213,SENSOR,0.5659,62.61,99.62,3027.6,0.106995,0
214,SENSOR,0.5492,60.93,102.89,3058.9,0.107444,0
215,SENSOR,0.5653,58.87,98.62,3000.0,0.108389,0
216,SENSOR,0.745,59.56,102.36,3019.1,0.108757,0
217,SENSOR,0.6036,60.48,94.93,2993.4,0.108768,0
218,SENSOR,0.6526,60.92,94.88,2988.4,0.108986,0
219,SENSOR,0.5783,60.5,105.01,2998.7,0.109118,0
220,SENSOR,0.5265,57.36,98.09,3048.8,0.109747,0
221,SENSOR,0.9868,62.81,101.34,2972.1,0.110077,0
222,SENSOR,0.5614,59.6,103.21,3012.1,0.110606,0
223,SENSOR,0.6542,59.5,101.97,2993.6,0.112029,0
224,SENSOR,0.8576,58.17,101.1,2985.8,0.112852,0
225,SENSOR,0.6373,62.19,103.62,2872.7,0.113176,0
226,SENSOR,0.6467,61.21,97.28,2993.3,0.113574,0
227,SENSOR,0.6534,59.76,102.61,3012.0,0.113581,0
228,SENSOR,0.5597,59.78,95.5,2990.5,0.113606,0
229,SENSOR,0.5967,59.07,102.32,2968.6,0.113783,0
230,SENSOR,0.6034,59.53,100.14,3014.1,0.114094,0
231,SENSOR,0.5805,62.24,100.95,3054.7,0.114226,0
232,SENSOR,1.2546,59.95,98.76,2949.8,0.114757,0
233,SENSOR,0.6319,61.18,101.58,2986.8,0.115961,0
234,SENSOR,0.517,59.53,97.5,2964.6,0.116228,0
